,InvoiceNo,Quantity,InvoiceDate,Price,CustomerID,Country
0,540267,96,1/6/2011,0.72,12415,Australia
1,567085,16,9/16/2011,0.83,12434,Australia
2,540267,36,1/6/2011,1.85,12415,Australia
3,558537,48,6/30/2011,1.25,12424,Australia
4,556917,144,6/15/2011,2.49,12415,Australia
5,540700,12,1/11/2011,0.85,12393,Australia
6,563614,96,8/18/2011,1.25,12415,Australia
7,576394,100,11/15/2011,1.45,12415,Australia
8,560491,1,7/19/2011,1.45,12415,Australia
9,553546,120,5/17/2011,0.55,12415,Australia
10,540267,160,1/6/2011,1.06,12415,Australia
11,563614,100,8/18/2011,4.15,12415,Australia
12,547659,2,3/24/2011,8.25,12434,Australia
13,556917,24,6/15/2011,1.65,12415,Australia
14,563614,200,8/18/2011,1.08,12415,Australia
15,559919,288,7/13/2011,0.36,12415,Australia
16,552956,2,5/12/2011,7.95,12431,Australia
17,C560540,-1,7/19/2011,2.08,12415,Australia
18,547659,2,3/24/2011,7.95,12434,Australia
19,560491,1,7/19/2011,2.89,12415,Australia
20,563614,144,8/18/2011,1.85,12415,Australia
21,556917,96,6/15/2011,1.45,12415,Australia
22,556917,96,6/15/2011,2.55,12415,Australia
23,C560540,-1,7/19/2011,1.65,12415,Australia
24,569650,100,10/5/2011,1.79,12415,Australia
25,556917,96,6/15/2011,0.72,12415,Australia
26,545475,144,3/3/2011,1.45,12415,Australia
27,540280,80,1/6/2011,0.85,12386,Australia
28,556917,120,6/15/2011,0.42,12415,Australia
29,545475,432,3/3/2011,0.25,12415,Australia
30,549313,10,4/8/2011,1.65,12393,Australia
31,563614,48,8/18/2011,2.55,12415,Australia
32,559919,240,7/13/2011,1.45,12415,Australia
33,560491,1,7/19/2011,1.45,12415,Australia
34,568145,6,9/25/2011,2.89,12388,Australia
35,C560540,-1,7/19/2011,1.65,12415,Australia
36,559919,48,7/13/2011,4.25,12415,Australia
37,565466,10,9/5/2011,1.65,12422,Australia
38,C560540,-1,7/19/2011,1.45,12415,Australia
39,556917,24,6/15/2011,0.42,12415,Australia
40,556917,96,6/15/2011,0.72,12415,Australia
41,543989,200,2/15/2011,1.45,12415,Australia
42,553546,144,5/17/2011,1.25,12415,Australia
43,545475,24,3/3/2011,2.55,12415,Australia
44,568145,96,9/25/2011,0.63,12388,Australia
45,540267,72,1/6/2011,1.06,12415,Australia
46,553546,24,5/17/2011,1.95,12415,Australia
47,553546,576,5/17/2011,0.53,12415,Australia
48,545475,432,3/3/2011,0.25,12415,Australia
49,545475,144,3/3/2011,1.06,12415,Australia
50,574138,24,11/3/2011,0.42,12415,Australia
51,556917,96,6/15/2011,0.72,12415,Australia
52,540267,60,1/6/2011,1.69,12415,Australia
53,565145,240,9/1/2011,3.39,12415,Australia
54,556917,96,6/15/2011,3.75,12415,Australia
55,578459,24,11/24/2011,0.39,12388,Australia
56,569722,12,10/6/2011,3.75,12431,Australia
57,547659,2,3/24/2011,7.95,12434,Australia
58,569650,72,10/5/2011,3.29,12415,Australia
59,C560540,-1,7/19/2011,4.95,12415,Australia
60,C538723,-5,12/14/2010,1.25,12434,Australia
61,543989,72,2/15/2011,3.75,12415,Australia
62,549313,10,4/8/2011,2.1,12393,Australia
63,563614,24,8/18/2011,1.65,12415,Australia
64,558536,10,6/30/2011,1.65,12424,Australia
65,552956,12,5/12/2011,2.08,12431,Australia
66,547659,12,3/24/2011,0.85,12434,Australia
67,578459,12,11/24/2011,2.95,12388,Australia
68,540267,240,1/6/2011,1.06,12415,Australia
69,560491,1,7/19/2011,4.15,12415,Australia
70,543989,192,2/15/2011,1.65,12415,Australia
71,556917,100,6/15/2011,1.79,12415,Australia
72,556917,144,6/15/2011,3.75,12415,Australia
73,560491,1,7/19/2011,0.42,12415,Australia
74,540267,6,1/6/2011,2.95,12415,Australia
75,543989,200,2/15/2011,0.34,12415,Australia
76,C560540,-1,7/19/2011,1.65,12415,Australia
77,549313,10,4/8/2011,2.1,12393,Australia
78,543989,240,2/15/2011,0.36,12415,Australia
79,543989,60,2/15/2011,2.55,12415,Australia
80,569650,50,10/5/2011,3.39,12415,Australia
81,553546,10,5/17/2011,6.75,12415,Australia
82,560491,1,7/19/2011,3.75,12415,Australia
83,556917,240,6/15/2011,1.06,12415,Australia
84,563614,48,8/18/2011,2.55,12415,Australia
85,543989,48,2/15/2011,1.69,12415,Australia
86,C560540,-1,7/19/2011,1.65,12415,Australia
87,569722,6,10/6/2011,2.95,12431,Australia
88,556917,120,6/15/2011,1.65,12415,Australia
89,553546,144,5/17/2011,1.95,12415,Australia
90,560033,6,7/14/2011,5.45,12388,Australia
91,C560540,-1,7/19/2011,4.15,12415,Australia
92,563614,120,8/18/2011,1.45,12415,Australia
93,569650,144,10/5/2011,1.65,12415,Australia
94,563614,216,8/18/2011,1.95,12415,Australia
95,560473,6,7/19/2011,2.95,12431,Australia
96,C560540,-1,7/19/2011,1.65,12415,Australia
97,560491,1,7/19/2011,6.25,12415,Australia
98,C568694,-24,9/28/2011,1.65,16321,Australia
99,553546,24,5/17/2011,4.25,12415,Australia
100,540267,36,1/6/2011,1.85,12415,Australia
101,563614,200,8/18/2011,0.34,12415,Australia
102,545475,96,3/3/2011,0.72,12415,Australia
103,539419,4,12/17/2010,3.75,12431,Australia
104,539419,12,12/17/2010,1.65,12431,Australia
105,560473,3,7/19/2011,4.95,12431,Australia
106,576394,96,11/15/2011,0.72,12415,Australia
107,553546,96,5/17/2011,0.38,12415,Australia
108,543372,18,2/7/2011,2.95,16321,Australia
109,540700,6,1/11/2011,3.75,12393,Australia
110,545475,144,3/3/2011,0.36,12415,Australia
111,553546,240,5/17/2011,0.39,12415,Australia
112,560473,4,7/19/2011,3.75,12431,Australia
113,542542,2,1/28/2011,8.5,12431,Australia
114,543989,192,2/15/2011,1.45,12415,Australia
115,541271,12,1/17/2011,3.95,12388,Australia
116,543989,72,2/15/2011,0.65,12415,Australia
117,553546,576,5/17/2011,0.53,12415,Australia
118,576394,160,11/15/2011,0.72,12415,Australia
119,543989,72,2/15/2011,2.55,12415,Australia
120,543989,144,2/15/2011,1.45,12415,Australia
121,568145,12,9/25/2011,1.65,12388,Australia
122,560033,6,7/14/2011,4.95,12388,Australia
123,541520,5,1/19/2011,2.95,12422,Australia
124,556917,100,6/15/2011,1.06,12415,Australia
125,563614,336,8/18/2011,3.75,12415,Australia
126,563614,100,8/18/2011,1.45,12415,Australia
127,540267,60,1/6/2011,0.85,12415,Australia
128,565145,72,9/1/2011,0.36,12415,Australia
129,541271,12,1/17/2011,1.95,12388,Australia
130,545475,72,3/3/2011,0.36,12415,Australia
131,569723,10,10/6/2011,2.08,12431,Australia
132,576394,120,11/15/2011,0.42,12415,Australia
133,560033,24,7/14/2011,2.89,12388,Australia
134,541271,24,1/17/2011,0.85,12388,Australia
135,569650,250,10/5/2011,0.36,12415,Australia
136,565145,60,9/1/2011,1.25,12415,Australia
137,558536,12,6/30/2011,0.83,12424,Australia
138,569650,72,10/5/2011,0.36,12415,Australia
139,543989,72,2/15/2011,2.55,12415,Australia
140,565466,10,9/5/2011,1.65,12422,Australia
141,569650,48,10/5/2011,3.29,12415,Australia
142,569650,12,10/5/2011,7.65,12415,Australia
143,569647,240,10/5/2011,3.45,12415,Australia
144,569650,96,10/5/2011,0.72,12415,Australia
145,556917,72,6/15/2011,0.36,12415,Australia
146,559919,48,7/13/2011,0.29,12415,Australia
147,553546,24,5/17/2011,1.25,12415,Australia
148,553546,24,5/17/2011,1.25,12415,Australia
149,556917,72,6/15/2011,1.25,12415,Australia
150,553546,50,5/17/2011,3.39,12415,Australia
151,545475,32,3/3/2011,12.75,12415,Australia
152,569722,4,10/6/2011,4.95,12431,Australia
153,540267,144,1/6/2011,0.72,12415,Australia
154,556917,120,6/15/2011,1.85,12415,Australia
155,560473,12,7/19/2011,0.42,12431,Australia
156,540267,48,1/6/2011,1.65,12415,Australia
157,541271,12,1/17/2011,0.85,12388,Australia
158,558537,4,6/30/2011,4.15,12424,Australia
159,556917,48,6/15/2011,3.39,12415,Australia
160,545475,72,3/3/2011,0.36,12415,Australia
161,567085,12,9/16/2011,3.75,12434,Australia
162,563614,240,8/18/2011,0.36,12415,Australia
163,558537,3,6/30/2011,6.95,12424,Australia
164,545475,240,3/3/2011,0.36,12415,Australia
165,556917,240,6/15/2011,0.42,12415,Australia
166,546135,12,3/9/2011,1.25,12388,Australia
167,560491,1,7/19/2011,0.42,12415,Australia
168,C560540,-1,7/19/2011,2.08,12415,Australia
169,545475,120,3/3/2011,3.75,12415,Australia
170,569650,50,10/5/2011,3.39,12415,Australia
171,567085,16,9/16/2011,0.83,12434,Australia
172,569650,250,10/5/2011,0.36,12415,Australia
173,556917,96,6/15/2011,3.75,12415,Australia
174,560491,1,7/19/2011,1.65,12415,Australia
175,576394,36,11/15/2011,1.06,12415,Australia
176,560473,12,7/19/2011,0.42,12431,Australia
177,561040,10,7/24/2011,6.75,12431,Australia
178,568708,16,9/28/2011,1.65,12393,Australia
179,563614,48,8/18/2011,0.85,12415,Australia
180,C560540,-2,7/19/2011,1.65,12415,Australia
181,C543375,-3,2/7/2011,4.95,16321,Australia
182,545475,16,3/3/2011,14.95,12415,Australia
183,563614,48,8/18/2011,1.45,12415,Australia
184,571705,6,10/18/2011,2.1,12360,Austria
185,571705,12,10/18/2011,1.95,12360,Austria
186,545570,1,3/3/2011,40.0,12817,Austria
187,562602,12,8/8/2011,1.65,12865,Austria
188,554132,12,5/23/2011,1.65,12360,Austria
189,554132,6,5/23/2011,14.95,12360,Austria
190,576345,12,11/14/2011,0.42,12374,Austria
191,554132,12,5/23/2011,1.65,12360,Austria
192,562602,6,8/8/2011,2.49,12865,Austria
193,C556793,-5,6/14/2011,4.25,12818,Austria
194,542887,10,2/1/2011,1.95,12373,Austria
195,576345,4,11/14/2011,4.95,12374,Austria
196,551054,2,4/26/2011,8.25,12429,Austria
197,551054,24,4/26/2011,0.55,12429,Austria
198,559707,12,7/12/2011,5.95,12358,Austria
199,547493,12,3/23/2011,3.75,12818,Austria
200,563749,8,8/19/2011,0.85,12360,Austria
201,571705,12,10/18/2011,0.42,12360,Austria
202,562602,12,8/8/2011,1.25,12865,Austria
203,562602,8,8/8/2011,4.15,12865,Austria
204,552202,12,5/6/2011,1.45,12414,Austria
205,542887,6,2/1/2011,2.95,12373,Austria
206,576345,4,11/14/2011,7.95,12374,Austria
207,576019,12,11/13/2011,0.83,12865,Austria
208,C538971,-48,12/15/2010,0.42,12865,Austria
209,581232,12,12/8/2011,5.95,12358,Austria
210,554132,8,5/23/2011,1.69,12360,Austria
211,571705,24,10/18/2011,0.85,12360,Austria
212,576345,24,11/14/2011,0.85,12374,Austria
213,554132,6,5/23/2011,2.95,12360,Austria
214,581232,24,12/8/2011,5.95,12358,Austria
215,562602,8,8/8/2011,1.25,12865,Austria
216,563749,12,8/19/2011,4.15,12360,Austria
217,551054,8,4/26/2011,3.75,12429,Austria
218,576019,4,11/13/2011,4.15,12865,Austria
219,554132,12,5/23/2011,0.65,12360,Austria
220,554132,10,5/23/2011,1.95,12360,Austria
221,581232,36,12/8/2011,0.39,12358,Austria
222,561627,6,7/28/2011,4.15,12453,Austria
223,561627,12,7/28/2011,0.85,12453,Austria
224,576019,3,11/13/2011,4.95,12865,Austria
225,551054,4,4/26/2011,8.25,12429,Austria
226,552202,3,5/6/2011,5.45,12414,Austria
227,543027,12,2/2/2011,1.65,12414,Austria
228,554132,12,5/23/2011,0.85,12360,Austria
229,576345,12,11/14/2011,1.65,12374,Austria
230,561627,12,7/28/2011,1.95,12453,Austria
231,561627,12,7/28/2011,1.65,12453,Austria
232,542887,1,2/1/2011,40.0,12373,Austria
233,561627,3,7/28/2011,4.95,12453,Austria
234,547493,6,3/23/2011,2.95,12818,Austria
235,571705,8,10/18/2011,1.95,12360,Austria
236,576019,24,11/13/2011,0.29,12865,Austria
237,551054,2,4/26/2011,6.95,12429,Austria
238,581232,24,12/8/2011,5.95,12358,Austria
239,547493,24,3/23/2011,1.25,12818,Austria
240,562602,12,8/8/2011,1.95,12865,Austria
241,561627,3,7/28/2011,4.95,12453,Austria
242,545570,24,3/3/2011,1.65,12817,Austria
243,561627,25,7/28/2011,0.42,12453,Austria
244,554132,8,5/23/2011,0.85,12360,Austria
245,563749,8,8/19/2011,0.85,12360,Austria
246,571705,12,10/18/2011,0.85,12360,Austria
247,552202,12,5/6/2011,1.65,12414,Austria
248,554132,12,5/23/2011,2.55,12360,Austria
249,545570,12,3/3/2011,4.95,12817,Austria
250,571705,4,10/18/2011,3.75,12360,Austria
251,562602,12,8/8/2011,1.65,12865,Austria
252,562602,12,8/8/2011,1.25,12865,Austria
253,551054,2,4/26/2011,28.0,12429,Austria
254,571705,12,10/18/2011,1.45,12360,Austria
255,561627,12,7/28/2011,1.65,12453,Austria
256,539330,4,12/17/2010,3.75,12370,Austria
257,547493,6,3/23/2011,2.95,12818,Austria
258,576345,12,11/14/2011,0.83,12374,Austria
259,563749,6,8/19/2011,2.55,12360,Austria
260,562602,4,8/8/2011,4.15,12865,Austria
261,576345,18,11/14/2011,1.25,12374,Austria
262,561627,25,7/28/2011,0.42,12453,Austria
263,571705,4,10/18/2011,4.15,12360,Austria
264,539330,12,12/17/2010,0.85,12370,Austria
265,542887,6,2/1/2011,2.95,12373,Austria
266,562602,12,8/8/2011,1.25,12865,Austria
267,576019,2,11/13/2011,6.95,12865,Austria
268,571705,6,10/18/2011,2.49,12360,Austria
269,551054,2,4/26/2011,12.75,12429,Austria
270,563749,6,8/19/2011,2.95,12360,Austria
271,571705,6,10/18/2011,2.55,12360,Austria
272,554132,4,5/23/2011,4.95,12360,Austria
273,554132,12,5/23/2011,1.65,12360,Austria
274,562602,6,8/8/2011,2.95,12865,Austria
275,576019,10,11/13/2011,1.25,12865,Austria
276,554132,8,5/23/2011,4.15,12360,Austria
277,576019,6,11/13/2011,2.1,12865,Austria
278,561627,12,7/28/2011,0.85,12453,Austria
279,563749,6,8/19/2011,2.25,12360,Austria
280,576345,12,11/14/2011,2.89,12374,Austria
281,563749,8,8/19/2011,1.25,12360,Austria
282,571705,12,10/18/2011,1.95,12360,Austria
283,552202,6,5/6/2011,5.45,12414,Austria
284,563749,6,8/19/2011,2.95,12360,Austria
285,554132,12,5/23/2011,1.65,12360,Austria
286,542887,20,2/1/2011,1.95,12373,Austria
287,551054,6,4/26/2011,2.95,12429,Austria
288,561627,25,7/28/2011,0.42,12453,Austria
289,539330,6,12/17/2010,2.95,12370,Austria
290,542887,10,2/1/2011,1.95,12373,Austria
291,559707,6,7/12/2011,2.95,12358,Austria
292,576019,12,11/13/2011,0.42,12865,Austria
293,576019,6,11/13/2011,2.89,12865,Austria
294,559707,2,7/12/2011,7.95,12358,Austria
295,562602,12,8/8/2011,1.65,12865,Austria
296,576345,12,11/14/2011,2.95,12374,Austria
297,576345,12,11/14/2011,1.45,12374,Austria
298,571705,6,10/18/2011,2.55,12360,Austria
299,551054,6,4/26/2011,4.25,12429,Austria
300,552202,1,5/6/2011,40.0,12414,Austria
301,571705,4,10/18/2011,4.25,12360,Austria
302,576019,12,11/13/2011,1.45,12865,Austria
303,576345,24,11/14/2011,0.85,12374,Austria
304,561627,24,7/28/2011,1.25,12453,Austria
305,554132,24,5/23/2011,1.25,12360,Austria
306,542887,12,2/1/2011,2.95,12373,Austria
307,563749,12,8/19/2011,0.42,12360,Austria
308,543027,12,2/2/2011,1.65,12414,Austria
309,561627,16,7/28/2011,1.65,12453,Austria
310,576019,12,11/13/2011,0.85,12865,Austria
