InvoiceDate,Quantity,TotalRevenue,Transactions
2010-12-01,258,363.23,14
2010-12-02,22,61.699999999999996,4
2010-12-03,100,264.36,11
2010-12-05,498,1132.38,29
2010-12-06,1,2.1,1
2010-12-07,203,479.99,17
2010-12-08,405,581.33,21
2010-12-09,266,974.58,25
2010-12-10,107,204.85,3
2010-12-12,1017,1721.53,20
2010-12-13,10,127.5,1
2010-12-14,-21,-791.3399999999999,25
2010-12-15,-36,5.400000000000006,4
2010-12-16,179,201.93,6
2010-12-17,1081,958.59,22
2010-12-19,6,25.5,1
2010-12-20,15,97.14,5
2010-12-21,465,625.95,11
2010-12-22,60,30.72,3
2011-01-04,89,324.68,4
2011-01-05,19,-6.549999999999997,4
2011-01-06,954,942.72,15
2011-01-07,125,157.49,12
2011-01-09,65,169.74,6
2011-01-10,77,180.85,11
2011-01-11,112,91.32,6
2011-01-12,147,288.31,11
2011-01-13,120,430.09000000000003,13
2011-01-14,445,876.87,7
2011-01-17,232,354.62,17
2011-01-18,104,110.8,5
2011-01-19,487,802.59,14
2011-01-20,48,114.4,2
2011-01-21,678,967.62,15
2011-01-24,411,1802.82,27
2011-01-25,775,1259.35,36
2011-01-26,226,523.79,24
2011-01-27,468,1736.63,50
2011-01-28,480,798.78,9
2011-01-31,186,542.94,5
2011-02-01,163,398.15000000000003,11
2011-02-02,98,123.05999999999999,6
2011-02-03,24,30.0,2
2011-02-04,82,249.31,17
2011-02-07,125,347.35,21
2011-02-08,82,84.5,7
2011-02-09,1284,2216.3,23
2011-02-11,11,30.900000000000006,2
2011-02-14,445,665.55,22
2011-02-15,1603,2265.49,15
2011-02-16,678,1171.08,33
2011-02-17,60,174.6,11
2011-02-18,1,28.0,1
2011-02-21,593,1062.19,18
2011-02-22,150,189.89999999999998,4
2011-02-23,50,79.2,3
2011-02-24,153,304.71999999999997,16
2011-02-25,19,47.45,3
2011-02-27,6,12.600000000000001,1
2011-02-28,409,700.61,23
2011-03-01,417,1207.88,46
2011-03-02,184,279.08,18
2011-03-03,1068,1910.27,16
2011-03-04,242,306.65999999999997,17
2011-03-07,5,-6.280000000000001,6
2011-03-08,191,278.97,10
2011-03-09,179,368.1,18
2011-03-10,213,438.7,26
2011-03-11,8,6.8,1
2011-03-14,653,617.31,19
2011-03-15,113,252.41000000000003,8
2011-03-16,44,177.55,7
2011-03-17,194,795.4,16
2011-03-18,16,59.85,4
2011-03-20,14,83.7,2
2011-03-21,27,43.55,5
2011-03-22,64,244.47,11
2011-03-23,378,336.78,8
2011-03-24,112,376.45,15
2011-03-25,263,618.4300000000001,13
2011-03-28,218,370.1,10
2011-03-29,784,1668.84,8
2011-03-30,276,262.68,8
2011-03-31,12,15.0,1
2011-04-01,-31,-19.11,4
2011-04-03,7,34.650000000000006,2
2011-04-04,30,112.5,1
2011-04-05,2158,4598.2,65
2011-04-07,530,628.88,21
2011-04-08,235,400.87,25
2011-04-10,16,23.52,2
2011-04-11,116,223.14,11
2011-04-12,38,38.22,3
2011-04-13,100,223.14,10
2011-04-14,62,98.31,6
2011-04-15,345,1162.7,31
2011-04-17,2,11.9,1
2011-04-18,204,403.56000000000006,4
2011-04-19,180,330.84000000000003,16
2011-04-21,130,255.06,8
2011-04-26,97,331.56,23
2011-04-27,184,122.24000000000001,5
2011-04-28,22,27.5,2
2011-05-01,5,14.75,1
2011-05-03,40,102.0,1
2011-05-04,70,71.89999999999999,5
