InvoiceNo,Quantity,InvoiceDate,Price,CustomerID,Country
540267,96,1/6/2011,0.72,12415,Australia
567085,16,9/16/2011,0.83,12434,Australia
540267,36,1/6/2011,1.85,12415,Australia
558537,48,6/30/2011,1.25,12424,Australia
556917,144,6/15/2011,2.49,12415,Australia
540700,12,1/11/2011,0.85,12393,Australia
563614,96,8/18/2011,1.25,12415,Australia
576394,100,11/15/2011,1.45,12415,Australia
560491,1,7/19/2011,1.45,12415,Australia
553546,120,5/17/2011,0.55,12415,Australia
540267,160,1/6/2011,1.06,12415,Australia
563614,100,8/18/2011,4.15,12415,Australia
547659,2,3/24/2011,8.25,12434,Australia
556917,24,6/15/2011,1.65,12415,Australia
563614,200,8/18/2011,1.08,12415,Australia
559919,288,7/13/2011,0.36,12415,Australia
552956,2,5/12/2011,7.95,12431,Australia
C560540,-1,7/19/2011,2.08,12415,Australia
547659,2,3/24/2011,7.95,12434,Australia
560491,1,7/19/2011,2.89,12415,Australia
563614,144,8/18/2011,1.85,12415,Australia
556917,96,6/15/2011,1.45,12415,Australia
556917,96,6/15/2011,2.55,12415,Australia
C560540,-1,7/19/2011,1.65,12415,Australia
569650,100,10/5/2011,1.79,12415,Australia
556917,96,6/15/2011,0.72,12415,Australia
545475,144,3/3/2011,1.45,12415,Australia
540280,80,1/6/2011,0.85,12386,Australia
556917,120,6/15/2011,0.42,12415,Australia
545475,432,3/3/2011,0.25,12415,Australia
549313,10,4/8/2011,1.65,12393,Australia
563614,48,8/18/2011,2.55,12415,Australia
559919,240,7/13/2011,1.45,12415,Australia
560491,1,7/19/2011,1.45,12415,Australia
568145,6,9/25/2011,2.89,12388,Australia
C560540,-1,7/19/2011,1.65,12415,Australia
559919,48,7/13/2011,4.25,12415,Australia
565466,10,9/5/2011,1.65,12422,Australia
C560540,-1,7/19/2011,1.45,12415,Australia
556917,24,6/15/2011,0.42,12415,Australia
556917,96,6/15/2011,0.72,12415,Australia
543989,200,2/15/2011,1.45,12415,Australia
553546,144,5/17/2011,1.25,12415,Australia
545475,24,3/3/2011,2.55,12415,Australia
568145,96,9/25/2011,0.63,12388,Australia
540267,72,1/6/2011,1.06,12415,Australia
553546,24,5/17/2011,1.95,12415,Australia
553546,576,5/17/2011,0.53,12415,Australia
545475,432,3/3/2011,0.25,12415,Australia
545475,144,3/3/2011,1.06,12415,Australia
574138,24,11/3/2011,0.42,12415,Australia
556917,96,6/15/2011,0.72,12415,Australia
540267,60,1/6/2011,1.69,12415,Australia
565145,240,9/1/2011,3.39,12415,Australia
556917,96,6/15/2011,3.75,12415,Australia
578459,24,11/24/2011,0.39,12388,Australia
569722,12,10/6/2011,3.75,12431,Australia
547659,2,3/24/2011,7.95,12434,Australia
569650,72,10/5/2011,3.29,12415,Australia
C560540,-1,7/19/2011,4.95,12415,Australia
C538723,-5,12/14/2010,1.25,12434,Australia
543989,72,2/15/2011,3.75,12415,Australia
549313,10,4/8/2011,2.1,12393,Australia
563614,24,8/18/2011,1.65,12415,Australia
558536,10,6/30/2011,1.65,12424,Australia
552956,12,5/12/2011,2.08,12431,Australia
547659,12,3/24/2011,0.85,12434,Australia
578459,12,11/24/2011,2.95,12388,Australia
540267,240,1/6/2011,1.06,12415,Australia
560491,1,7/19/2011,4.15,12415,Australia
543989,192,2/15/2011,1.65,12415,Australia
556917,100,6/15/2011,1.79,12415,Australia
556917,144,6/15/2011,3.75,12415,Australia
560491,1,7/19/2011,0.42,12415,Australia
540267,6,1/6/2011,2.95,12415,Australia
543989,200,2/15/2011,0.34,12415,Australia
C560540,-1,7/19/2011,1.65,12415,Australia
549313,10,4/8/2011,2.1,12393,Australia
543989,240,2/15/2011,0.36,12415,Australia
543989,60,2/15/2011,2.55,12415,Australia
569650,50,10/5/2011,3.39,12415,Australia
553546,10,5/17/2011,6.75,12415,Australia
560491,1,7/19/2011,3.75,12415,Australia
556917,240,6/15/2011,1.06,12415,Australia
563614,48,8/18/2011,2.55,12415,Australia
543989,48,2/15/2011,1.69,12415,Australia
C560540,-1,7/19/2011,1.65,12415,Australia
569722,6,10/6/2011,2.95,12431,Australia
556917,120,6/15/2011,1.65,12415,Australia
553546,144,5/17/2011,1.95,12415,Australia
560033,6,7/14/2011,5.45,12388,Australia
C560540,-1,7/19/2011,4.15,12415,Australia
563614,120,8/18/2011,1.45,12415,Australia
569650,144,10/5/2011,1.65,12415,Australia
563614,216,8/18/2011,1.95,12415,Australia
560473,6,7/19/2011,2.95,12431,Australia
C560540,-1,7/19/2011,1.65,12415,Australia
560491,1,7/19/2011,6.25,12415,Australia
C568694,-24,9/28/2011,1.65,16321,Australia
553546,24,5/17/2011,4.25,12415,Australia
540267,36,1/6/2011,1.85,12415,Australia
563614,200,8/18/2011,0.34,12415,Australia
545475,96,3/3/2011,0.72,12415,Australia
539419,4,12/17/2010,3.75,12431,Australia
539419,12,12/17/2010,1.65,12431,Australia
560473,3,7/19/2011,4.95,12431,Australia
576394,96,11/15/2011,0.72,12415,Australia
553546,96,5/17/2011,0.38,12415,Australia
543372,18,2/7/2011,2.95,16321,Australia
540700,6,1/11/2011,3.75,12393,Australia
545475,144,3/3/2011,0.36,12415,Australia
553546,240,5/17/2011,0.39,12415,Australia
560473,4,7/19/2011,3.75,12431,Australia
542542,2,1/28/2011,8.5,12431,Australia
543989,192,2/15/2011,1.45,12415,Australia
541271,12,1/17/2011,3.95,12388,Australia
543989,72,2/15/2011,0.65,12415,Australia
553546,576,5/17/2011,0.53,12415,Australia
576394,160,11/15/2011,0.72,12415,Australia
543989,72,2/15/2011,2.55,12415,Australia
543989,144,2/15/2011,1.45,12415,Australia
568145,12,9/25/2011,1.65,12388,Australia
560033,6,7/14/2011,4.95,12388,Australia
541520,5,1/19/2011,2.95,12422,Australia
556917,100,6/15/2011,1.06,12415,Australia
